Mandala,Sukta,Verse,Meter,Surface_Word_Index,Surface_DEV,Surface_IAST,Segmented_DEV,Segmented_IAST,Left_Underlying_Word_Index,Left_Underlying_DEV,Left_Underlying_IAST,Right_Underlying_Word_Index,Right_Underlying_DEV,Right_Underlying_IAST,Category,Subtype,Confidence,Normalization_Status,Detected,Notes
0,0,3,"Gayatri",1,"रयिमश्नवत्पोषमेव","rayimaśnavat","रयिम अश्नवत","rayim aśnavat",1,"रयिम","rayim",2,"अश्नवत","aśnavat","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,4,"Gayatri",2,"यज्ञमध्वरं","yajñamadhvaraṃ","यज्ञम अध्वरं","yajñam adhvaraṃ",2,"यज्ञम","yajñam",3,"अध्वरं","adhvaraṃ","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,4,"Gayatri",7,"गच्छति","iddeveṣu","इद देवेषु","id deveṣu",8,"इद","id",9,"देवेषु","deveṣu","consonant sandhi","external consonant contact","medium","generated",true,"Both sides of the boundary are consonantal."
0,0,6,"No Meter Detected",0,"यदङ्ग","yadaṅga","यद अङ्ग","yad aṅga",0,"यद","yad",1,"अङ्ग","aṅga","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,6,"No Meter Detected",2,"त्वमग्ने","tvamagne","त्वम अग्ने","tvam agne",3,"त्वम","tvam",4,"अग्ने","agne","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,6,"No Meter Detected",5,"तवेतत्सत्यमङ्गिरः","tavetat","तव एतत","tav etat",7,"तव","tav",8,"एतत","etat","sandhi candidate","boundary assimilation","medium","generated",true,"Surface token aligns with multiple underlying words."
0,0,9,"No Meter Detected",8,"स्वस्तये","naḥsvastaye","नः स्वस्तये","naḥ svastaye",8,"नः","naḥ",9,"स्वस्तये","svastaye","visarga sandhi","external visarga","high","generated",true,"Left underlying form ends in visarga before the next segment."
