Character,Character,Count
"ः",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
"अ",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"इ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"उ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ए",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"क",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
"ग",1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,10
"ङ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"च",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2
"छ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ज",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
"ञ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"ड",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"ण",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"त",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,5,1,4,0,4,0,1,4,0,0,3,6,0,2,1,1,3,0,2,17
"द",0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,1,0,0,1,5,2,0,0,0,10,0,2,3
"ध",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4
"न",2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,2,0,0,1,0,0,4,5,0,0,2,0,5,1,2,12
"प",0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,1,0,1,0,2,1
"भ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,1,0,3,0,2,0
"म",0,1,1,0,0,1,0,2,1,0,0,1,1,0,0,5,1,3,1,0,0,4,1,0,0,1,1,1,1,1,0,2,3,1,0,0,1,2,0,1,2
"य",4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,1,0,1,0,1,2,0,1,0,0,2,2,0,0,0,0,3,0,1,7
"र",5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,1,0,0,5,1,0,1,0,0,5,8,2,2,2,0,0,1,1,11
"ळ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"व",3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,2,0,1,1,1,5,0,0,0,0,5,1,0,5,8,2,0,0,0,17,0,1,11
"श",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,4
"ष",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,2,0,2,3
"स",2,2,0,1,0,0,0,0,0,2,0,0,1,0,0,4,1,0,1,0,0,1,1,1,0,5,1,0,0,0,0,0,4,0,1,1,0,2,0,0,9
"ह",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1
"ऽ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ा",1,0,0,0,0,0,1,2,0,0,0,1,0,0,2,3,1,1,4,2,0,2,2,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ि",0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,6,5,1,5,1,5,3,2,8,0,8,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0
"ी",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ु",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"ू",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ृ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"े",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,5,1,3,2,3,0,1,17,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
"ै",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ो",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,2,2,2,1,1,1,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
"्",0,0,1,0,0,0,2,10,2,2,1,2,2,1,0,17,3,4,12,1,0,2,7,11,0,11,4,3,9,1,0,0,0,0,0,0,0,0,0,0,0
